Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
Bryan East Campus,"1600 South 48th Street Lincoln, NE",b,b,c,c,b,b,b,0.596,0.7,0.446,0.855,0.993,0.049,1.04,179.82,0.24,8.73,3.32,1.18,-2,-2,-2,80,89,-2,0.36,0.388,0,-2,-2,-2,5,93,94,87
Bryn Mawr Hospital,"130 South Bryn Mawr Avenue Bryn Mawr, PA",c,b,b,a,a,a,a,0.679,0.354,0,1.262,1.29,0.099,0.84,128.74,0.18,4.22,3.97,0.89,45,45,-2,81,88,-2,0.31,0.397,0,-2,-2,-2,5,92,94,88
CAMC General Hospital,"501 Morris Street Charleston, WV",d,d,d,d,c,c,c,0.807,0.876,0.814,0.615,1.532,0,1.04,192.39,0.46,7.1,5.44,1.1,45,45,-2,76,86,-2,0.76,0.668,0,-2,-2,-2,5,90,89,84
Butler Memorial Hospital,"1 Hospital Way Butler, PA",a,a,c,c,b,b,c,0,0.603,0.278,1.239,0.616,0,0.88,185.31,0.43,6.08,3.98,1.33,100,100,60,81,90,120,0.14,0.653,0,100,120,100,100,90,91,85
CAMC Teays Valley Hospital,"1400 Hospital Drive Hurricane, WV",d,d,d,d,c,ns,ns,0.807,0.876,0.814,0.615,1.532,0,1.04,192.39,0.46,7.1,5.44,1.1,45,45,-2,76,86,-2,0.76,0.668,0,-2,-2,-2,5,90,89,84
CGH Medical Center,"100 E Le Fevre Rd Sterling, IL",a,a,c,c,a,c,b,-1,0.567,0.807,1.252,0,0,0.89,173.47,0.38,7.83,3.5,1.08,-2,-2,-2,84,88,-2,0.18,0.482,0,-2,-2,-2,5,93,94,90
Bryan West Campus,"2300 South 16th Street Lincoln, NE",b,b,c,c,b,b,b,0.596,0.7,0.446,0.855,0.993,0.049,1.04,179.82,0.24,8.73,3.32,1.18,-2,-2,-2,80,89,-2,0.36,0.388,0,-2,-2,-2,5,93,94,87
CHI Health Good Samaritan,"10 East 31st Street Kearney, NE",c,c,c,ns,ns,ns,c,0,0.503,0.453,0.926,0.94,0,0.85,155.42,0.26,14.22,4.01,0.94,-2,-2,-2,79,89,-2,0.68,0.737,0,-2,-2,-2,5,90,91,84
CHI Health Lakeside,"16901 Lakeside Hills Court Omaha, NE",c,c,ns,c,c,b,b,1.267,0.491,0.451,1.125,0,0,1.15,161.48,0.35,16.47,3.82,1.29,45,45,-2,79,85,-2,0.11,0.575,0,-2,-2,-2,5,93,92,84
CHI Health Immanuel,"6901 N. 72nd Street Omaha, NE",c,c,c,c,c,b,a,0.557,0.243,0.624,0.724,0.806,0,1.5,132.61,0.31,6.18,3.15,1.09,45,45,-2,74,89,-2,0.11,0.433,0,-2,-2,-2,5,91,90,81
CHA Cambridge Hospital,"1493 Cambridge Street Cambridge, MA",b,c,c,c,c,b,c,0,0.449,-1,0.727,0.977,0,0.9,-1,0.28,10.85,3.92,2,70,100,60,77,86,120,0.16,0.486,0,100,120,94.12,50,92,90,82
CHI Health Creighton University Medical Center - Bergan Mercy,"7500 Mercy Road Omaha, NE",c,c,c,c,c,b,c,0.743,0.671,0.505,0.794,1.142,0,0.71,131.96,0.38,12.31,3.44,1.03,45,45,-2,75,87,-2,0.38,0.546,0,-2,-2,-2,5,90,91,80
CHI Health St Francis,"2620 West Faidley Ave Grand Island, NE",c,c,c,c,b,c,d,0,0.62,1.669,0.937,1.118,0,0.86,171.79,0.27,7.3,3.94,1.28,45,45,-2,79,88,-2,2.03,0.38,0,-2,-2,-2,5,92,91,84
CHI Health St. Elizabeth,"555 S 70th St Lincoln, NE",c,c,c,c,c,c,c,0.716,0.878,0.748,0.386,1.214,0,1.32,182.19,0.26,8.39,2.3,1.06,45,45,-2,75,89,-2,0.34,0.14,0,-2,-2,-2,5,91,89,77
CHI Mercy Health Mercy Medical Center,"2700 NW Stewart Pkwy Roseburg, OR",a,b,b,b,b,a,c,0,0.738,0.642,0.241,0,0,0.9,156.63,0.23,11.01,2.6,1.11,40,100,60,77,85,120,0.16,0.408,0,100,120,88.24,100,90,90,83
CHI Health Midlands,"11111 South 84th Street Papillion, NE",c,ns,ns,b,a,b,b,-1,1.865,-1,-1,-1,0,0.94,-1,0.26,6.69,3.47,1.23,45,45,-2,82,88,-2,0.33,0.888,0,-2,-2,-2,-1,93,95,90
CENTRAL CAROLINA HOSPITAL,"1135 CARTHAGE ST SANFORD, NC",c,c,a,a,b,b,a,-1,0.857,-1,1.637,-1,0,0.91,-1,0.29,-1,3.94,1.13,70,100,54,79,89,120,0.16,0.499,0,100,120,100,5,91,89,82
CHI Health Mercy Council Bluffs,"800 Mercy Drive Council Bluffs, IA",b,b,c,c,c,c,c,-1,0.403,0.974,0,-1,0,0.91,180.38,0.29,4.54,3.65,1.12,-2,-2,-2,78,90,-2,0.16,0.516,0,-2,-2,-2,5,91,92,83
CHI St Luke's Health - Sugar Land Hospital,"1317 LAKE POINTE PARKWAY Sugar Land, TX",c,c,c,c,c,c,c,-1,0.394,1.349,0.512,1.368,0,0.92,164.5,0.25,6.11,3.56,1.17,100,100,60,75,82,101.54,0.83,0.536,0,100,101.54,100,5,90,87,80
CHA Everett Hospital,"103 Garland Street Everett, MA",b,c,c,c,a,a,b,0,0.351,0,1.438,-1,0,0.9,-1,0.28,10.85,3.92,2,70,75,60,77,86,120,0.16,0.486,0,100,120,94.12,50,92,90,82
CHI St Luke's Hospital at The Vintage,"20171 CHASEWOOD PARK DRIVE Houston, TX",b,c,c,c,c,c,c,-1,0.241,0.473,0.577,-1,0,0.94,-1,0.3,6.57,3.86,1.23,100,100,60,74,80,92.31,0.27,0,0,100,110.77,88.24,15,91,91,82
CHI St. Joseph Health College Station Hospital,"1604 Rock Prairie Rd College Station, TX",b,b,c,c,c,b,a,-1,0.297,-1,-1,-1,0,0.93,168.54,0.25,7.69,3.19,1.18,45,100,60,82,87,92.31,0.22,0.472,0,90.91,110.77,100,50,92,92,87
CHI St. Alexius Health,"900 East Broadway Ave Bismarck, ND",b,b,b,b,c,b,b,0,1.358,1.026,0.623,0,0,0.86,112.86,0.25,16.47,2.22,1.22,100,45,-2,76,87,-2,0.26,0.166,0,-2,-2,-2,100,90,90,83
CHI St. Joseph Health Regional,"2801 Franciscan Drive Bryan, TX",b,b,b,b,c,c,c,1.191,0.684,0.682,0.218,0.207,0,1.09,141.45,0.38,6.14,3.6,1.08,40,100,60,79,87,120,0.07,0.385,0,90.91,120,100,5,92,92,85
CHI St. Luke's Health Brazosport,"100 Medical Drive Lake Jackson, TX",c,b,a,a,b,b,c,-1,1.348,-1,0,-1,0,0.94,-1,0.25,6.82,3.83,1.18,100,100,60,77,85,110.77,0.24,0.708,0,100,110.77,88.24,5,91,91,84
CHI St. Luke's Health The Woodlands Hospital,"17200 ST LUKES WAY The Woodlands, TX",a,a,b,a,c,c,c,0.491,0.511,0.488,0.499,0,0,0.86,142.35,0.33,6.01,3.57,1.26,100,75,60,76,81,120,0.39,0,0,100,120,100,100,90,91,80
CHI St. Vincent Hot Springs,"300 Werner Street Hot Springs, AR",c,c,c,c,c,c,d,0.349,0.613,0,1.023,0.259,0,1.07,117.04,0.21,5.19,2.06,1.07,100,75,12,77,84,92.31,0.46,0.624,0,90.91,120,88.24,15,92,91,82
CHI St. Luke's Health Memorial,"1201 West Frank Avenue Lufkin, TX",c,c,c,c,c,b,c,2.455,0.474,1.462,0.619,0,0,0.86,155.43,0.34,8.86,3.23,1.01,70,75,60,75,81,120,0.27,0.179,0,100,120,100,5,89,90,86
CHI St. Luke's Health Memorial Livingston,"1717 Highway 59 Bypass N Livingston, TX",b,a,b,c,b,b,c,-1,1.27,-1,-1,-1,0,0.94,-1,0.26,7.92,3.42,1.25,100,100,60,80,85,120,0.35,0.778,0,100,120,100,5,91,92,90
CHI St. Vincent Medical Center-North,"2215 Wildwood Avenue Sherwood, AR",d,d,c,d,ns,c,c,-1,1.017,-1,1.64,-1,0,0.95,-1,0.25,9.18,4.19,1.26,15,75,6,74,80,92.31,0.78,0,0,90.91,110.77,100,5,92,90,83
CHRISTUS Good Shepherd Medical Center-Marshall,"811 South Washington Avenue Marshall, TX",b,c,c,b,b,b,a,0.936,0.602,0.933,0.226,0.239,0,0.89,175.03,0.21,8.88,3.12,1.02,70,75,-2,81,85,-2,0.1,0,0,-2,-2,-2,-1,91,91,83
CHRISTUS Good Shepherd Medical Center - Longview,"700 East Marshall Avenue Longview, TX",b,c,ns,ns,c,b,b,0.936,0.602,0.933,0.226,0.239,0,0.89,175.03,0.21,8.88,3.12,1.02,40,75,60,81,85,120,0.1,0,0,100,110.77,100,5,91,91,83
CHRISTUS Health Shreveport-Bossier,"1453 East Bert Kouns Shreveport, LA",c,b,c,c,b,a,a,2.553,0.935,0,1.181,1.162,0,1.08,173.72,0.28,16.47,4.97,0.88,100,75,-2,82,88,-2,0.23,0,0,-2,-2,-2,5,94,93,85
CHI St. Vincent Infirmary Medical Center,"2 St. Vincent Circle Little Rock, AR",d,d,d,d,d,c,d,0.828,0.994,0.376,0.797,0.379,0,1.09,198.68,0.27,10.35,3.38,0.58,15,100,12,75,84,92.31,0.1,0.425,0,72.73,110.77,100,5,92,90,82
CHRISTUS Mother Frances Hospital - Tyler,"800 EAST DAWSON Tyler, TX",b,a,a,a,a,a,a,1.65,0.486,0.691,1.354,0.49,0,0.95,151.33,0.36,7.64,2.6,1.13,100,100,60,79,86,120,0.09,0.626,0.052,90.91,120,100,100,92,92,84
CHRISTUS Ochsner Lake Area,"4200 Nelson Road Lake Charles, LA",b,b,b,b,ns,ns,ns,-1,0,-1,-1,-1,0,0.92,-1,0.31,6.62,3.15,1.16,70,45,-2,77,85,-2,0.38,0,0,-2,-2,-2,5,94,92,87
CHRISTUS Mother Frances Hospital - Sulphur Springs,"115 Airport Road Sulphur Springs, TX",a,a,d,c,c,a,b,-1,0,-1,0,-1,0,0.94,-1,0.24,8.24,4.22,1.21,100,100,60,80,85,120,0.25,0.4,0,90.91,120,100,50,92,93,85
CHRISTUS Ochsner St. Patrick Hospital of Lake Charles,"524 Dr Michael Debakey Drive Lake Charles, LA",c,c,c,c,c,c,c,1.589,0.303,0.424,0.214,0,0.153,0.87,172.31,0.25,13.63,3.9,0.98,100,-2,-2,76,84,-2,0.1,0.306,0,-2,-2,-2,5,92,91,83
CHRISTUS Santa Rosa Health Care - Medical Center,"2827 Babcock San Antonio, TX",c,c,c,c,c,c,ns,0,0.348,1.191,1.001,0,0.072,0.77,151.94,0.23,10.25,3.63,1.36,100,75,60,76,85,120,1.42,0.716,0,100,110.77,100,5,92,91,81
CHRISTUS Spohn Hospital Alice,"2500 East Main Street Alice, TX",a,a,c,c,b,a,a,-1,0,-1,-1,-1,0,0.92,-1,0.25,8.02,3.45,1.2,100,100,60,86,87,120,0.3,0.663,0,100,110.77,82.35,5,94,96,90
CHRISTUS Santa Rosa Hospital - New Braunfels,"600 North Union Avenue New Braunfels, TX",c,c,b,c,c,c,ns,-1,0.121,1.692,0,0.726,0.072,0.77,151.94,0.23,10.25,3.63,1.36,100,75,60,76,85,120,1.42,0.716,0,100,110.77,100,100,92,91,81
CHRISTUS Santa Rosa Hospital - Westover Hills,"11212 State Highway 151 San Antonio, TX",c,c,c,c,c,c,ns,1.028,0.707,2.307,0.26,0.569,0.072,0.77,151.94,0.23,10.25,3.63,1.36,100,75,60,76,85,120,1.42,0.716,0,100,101.54,100,5,92,91,81
CHRISTUS Spohn Hospital Corpus Christi - Shoreline,"600 Elizabeth St Corpus Christi, TX",c,b,c,c,d,c,c,1.038,0.206,1.144,0.815,1.078,0,0.78,170.09,0.25,6.56,2.52,0.8,100,75,60,72,82,120,0.55,0.4,0,100,110.77,94.12,100,89,88,76
CHRISTUS Spohn Hospital Corpus Christi - South,"5950 Saratoga Boulevard Corpus Christi, TX",c,c,c,c,d,c,c,1.127,0.183,1.04,1.433,0.425,0,0.78,170.09,0.25,6.56,2.52,0.8,70,75,60,72,82,120,0.55,0.4,0,100,110.77,94.12,15,89,88,76
CHRISTUS Southeast Texas St. Elizabeth,"2830 Calder Avenue Beaumont, TX",a,b,b,b,c,b,c,1.341,0.073,1.556,1.532,0.64,0,0.79,140.79,0.27,8.72,2.34,1.29,100,-2,-2,79,82,-2,0.19,0.307,0,-2,-2,-2,100,91,92,83
CHRISTUS Spohn Hospital Corpus Christi Memorial,"2606 Hospital Boulevard Corpus Christi, TX",d,d,c,c,d,c,c,0.758,0.235,0.764,0.763,0.911,0,0.78,170.09,0.25,6.56,2.52,0.8,-2,-2,-2,72,82,-2,0.55,0.4,0,-2,-2,-2,5,89,88,76
CHRISTUS St. Vincent Regional Medical Center,"455 St. Michael's Drive Santa Fe, NM",b,c,a,c,c,c,d,0,0.494,1.339,1.932,0.797,0,1.12,153.82,0.25,3.49,4.14,0.95,100,75,60,75,84,120,0.58,0.733,0,90.91,120,100,100,90,90,83
CJW Medical Center - Chippenham Campus,"7101 Jahnke Road Richmond, VA",a,a,a,a,a,b,b,0.537,0.553,1.021,1.755,0.997,0,0.94,172.75,0.15,12.69,4.28,0.96,100,100,60,78,86,120,0.15,0.267,0,100,120,100,100,90,90,84
CHRISTUS Spohn Hospital Kleberg,"1311 General Cavazos Boulevard Kingsville, TX",c,c,d,d,ns,c,b,-1,0,-1,0,-1,0,0.94,-1,0.25,8.58,3.57,1.24,100,100,60,76,84,120,0.7,0.59,0,100,110.77,82.35,5,90,89,79
CHRISTUS St. Frances Cabrini Hospital,"3330 Masonic Drive Alexandria, LA",c,c,d,c,c,c,c,2.348,0.409,1.299,0.825,0.983,0,0.83,138.65,0.27,4.39,4.5,1.09,100,45,-2,79,85,-2,0.39,0.733,0,-2,-2,-2,100,91,92,81
CHRISTUS St. Michael Health System,"2600 St Michael Drive Texarkana, TX",c,b,c,c,a,a,a,0.421,0.634,0.829,0.706,0.619,0,1.03,145.89,0.31,10.08,4.82,1.51,100,75,60,78,87,101.54,0.06,0.35,0,81.82,110.77,100,5,93,92,87
CJW Medical Center - Johnston-Willis Campus,"1401 Johnston Willis Drive Richmond, VA",a,a,a,a,a,a,b,0.416,0.359,0.891,0,0.771,0,0.94,172.75,0.15,12.69,4.28,0.96,100,100,60,78,86,120,0.15,0.267,0,100,120,100,100,90,90,84
Caldwell UNC Healthcare,"321 Mulberry St SW Lenoir, NC",b,b,b,b,b,c,c,-1,0.402,0.673,1.351,-1,0,0.93,153.04,0.24,9.68,3.27,1.2,100,75,60,76,88,120,0.45,0.337,0,100,120,100,5,92,92,83
California Hospital Medical Center,"1401 S. Grand Avenue Los Angeles, CA",c,b,b,b,b,c,c,1.2,0.523,1.47,0.968,1.026,0,1.23,149.86,0.25,8.5,4.09,1.85,100,100,60,76,83,120,0.46,0,0,100,120,100,100,87,88,78
COMMUNITY HOSPITAL OF SAN BERNARDINO,"1805 MEDICAL CENTER DRIVE SAN BERNARDINO, CA",c,c,b,a,a,c,b,0.866,0.638,2.673,0.974,-1,0,0.94,-1,0.26,-1,4.1,1.24,100,100,60,78,84,120,0.26,0.784,0,100,120,100,100,87,89,80
Cabell Huntington Hospital,"1340 Hal Greer Blvd Huntington, WV",d,d,d,c,c,c,d,2.477,0.685,0.66,0.612,1.364,0.134,0.78,198.52,0.25,7.05,4.43,1.05,45,45,-2,78,86,-2,1.05,1.625,0,-2,-2,-2,75,91,92,87
CalvertHealth Medical Center,"100 Hospital Road Prince Frederick, MD",c,c,b,c,c,c,ns,-1,0.21,0,2.073,-1,0,0.93,-1,0.27,5.68,3.31,1.17,40,100,60,75,83,120,1.46,0.21,0,100,120,100,5,89,92,83
Cambridge Medical Center,"701 S. Dellwood Street Cambridge, MN",a,b,ns,ns,ns,b,a,-1,0.342,-1,-1,-1,0,0.94,-1,0.26,6.34,3.55,1.59,45,5,-2,84,92,-2,0.39,0,0,-2,-2,-2,-1,95,93,91
Candler Hospital,"5353 Reynolds Street Savannah, GA",d,d,b,b,c,c,c,1.069,0.741,0.842,0.971,0.236,0.184,0.79,185.63,0.27,9.91,6.46,1.23,-2,-2,-2,72,82,-2,0.6,0.184,0,-2,-2,-2,5,90,88,77
Camden Clark Medical Center,"800 Garfield Avenue Parkersburg, WV",c,c,c,c,c,c,b,1.425,0.8,0.138,0.324,1.379,0.102,1.39,162.47,0.19,10.5,3.37,1.15,45,45,-2,78,86,-2,0.09,0.305,0,-2,-2,-2,5,90,92,87
Campbell County Health,"501 S. Burma Avenue Gillette, WY",c,c,c,c,ns,c,a,-1,1.865,-1,-1,-1,0,0.93,-1,0.26,5.69,3.15,1.23,40,100,48,82,90,92.31,0.32,0.736,0,100,101.54,100,5,92,91,89
Cameron Regional Medical Center,"1600 E. Evergreen Street Cameron, MO",c,c,c,b,ns,c,c,-1,0,-1,0,-1,0,0.94,-1,0.26,8.66,4.1,1.57,45,-2,-2,74,85,-2,0.34,0,0,-2,-2,-2,5,90,90,84
Canonsburg General Hospital,"100 Medical Boulevard Canonsburg, PA",b,b,b,c,ns,c,c,-1,1.397,-1,0.9,-1,0,0.94,-1,0.26,6.61,3.5,1.23,100,100,60,78,86,120,0.35,0,0,100,120,100,15,93,92,86
Cape Cod Hospital,"27 Park Street Hyannis, MA",a,a,b,a,a,a,a,0.308,0.835,0.931,1.131,0.98,0,1.02,143.94,0.22,4.8,4.14,1.23,100,100,60,78,89,110.77,0.26,0.292,0,100,120,100,100,92,93,84
Canton-Potsdam Hospital,"50 Leroy Street Potsdam, NY",b,b,c,c,c,c,a,-1,1.006,0,0.413,1.506,0,0.9,-1,0.24,5.1,3.42,1.43,100,100,60,77,90,101.54,0.52,0.289,0,100,120,94.12,5,90,90,84
Cape Canaveral Hospital,"701 W. Cocoa Beach Causeway Cocoa Beach, FL",b,c,c,c,c,b,a,2.581,0.782,-1,0,1.068,0,0.89,153.3,0.21,5.14,3.27,1.34,100,75,-2,81,89,-2,0.15,0.385,0,-2,-2,-2,5,93,93,87
Canyon Vista Medical Center,"5700 East Highway 90 Sierra Vista, AZ",c,c,d,d,d,d,d,-1,0.749,-1,0,-1,0,0.91,-1,0.28,9.03,3.56,1.16,100,75,60,74,88,120,0.54,1.413,0,100,120,100,5,88,90,83
Cape Coral Hospital,"636 Del Prado Blvd Cape Coral, FL",a,a,a,a,b,b,b,0.226,0.312,0.203,0.391,0.371,0,0.77,143.81,0.22,6.43,2.9,1.42,100,100,60,75,86,120,0.15,0.159,0,100,120,100,100,89,91,81
Cape Fear Valley Medical Center,"1638 Owen Drive Fayetteville, NC",a,a,a,a,a,b,b,0.711,0.634,0.474,0.571,0.412,0,0.75,197.04,0.25,5.22,3.45,0.88,100,100,60,77,85,120,0.47,0.188,0,100,120,100,100,90,90,81
Capital Health Medical Center - Hopewell,"One Capital Way Pennington, NJ",c,b,a,a,a,b,b,1.287,0.462,0.217,0.874,0.829,0,0.86,151.11,0.27,11.59,4.41,1.26,100,25,42,76,84,120,0.54,0.398,0,100,120,100,100,91,91,81
Cape Regional Medical Center,"2 Stone Harbor Boulevard Cape May Court House, NJ",c,c,b,b,b,b,b,-1,1.235,0,2.796,2.195,0,1.15,157.03,0.3,6.78,3.58,1.04,100,100,48,80,87,110.77,0.32,0.445,0,100,110.77,88.24,100,92,94,87
Capital Health Regional Medical Center,"750 Brunswick Avenue Trenton, NJ",c,c,c,c,b,a,b,1.016,0.278,0,0.811,0,0,1.22,172.36,0.27,6.26,5.29,1.13,100,25,42,74,83,120,0.12,0.233,0,100,120,100,100,90,89,80
Capital Medical Center,"3900 Capital Mall Drive SW Olympia, WA",d,c,ns,ns,ns,ns,ns,-1,0.679,-1,2.332,0,0,0.88,169.77,0.23,7.35,3.21,1.79,15,50,54,80,91,101.54,0.19,0.562,0,72.73,73.85,82.35,5,92,91,84
CarePoint Health-Bayonne Medical Center,"29 E. 29th Street Bayonne, NJ",a,b,a,a,a,a,c,-1,0.268,0,0.819,1.601,0,0.89,154.11,0.32,6.64,3.59,1.09,100,100,60,74,84,120,0.54,0.405,0,100,120,100,100,91,91,85
Capital Region Medical Center,"1125 Madison Street Jefferson City, MO",b,b,b,c,c,b,a,0,0.826,0,1.351,0,0,0.88,197.64,0.27,11.96,4.16,1.38,45,-2,-2,79,88,-2,0.41,0.212,0,-2,-2,-2,5,93,94,87
Capital Regional Medical Center,"2626 Capital Medical Blvd. Tallahassee, FL",a,a,c,c,a,b,b,1.408,0.861,0.251,0.594,0.401,0,1.15,172.73,0.2,11.05,2.84,1.27,100,100,60,77,84,120,0.1,0.121,0,100,120,100,100,89,89,82
CarePoint Health-Christ Hospital,"176 Palisade Avenue Jersey City, NJ",b,c,b,c,c,a,a,0.851,0.313,1.09,0.261,0,0,1.2,173.02,0.32,11.02,3.9,1.39,100,100,60,74,83,120,1.71,0,0,100,120,100,100,90,90,81
Carepoint Health-Hoboken University Medical Center,"308 Willow Avenue Hoboken, NJ",b,b,b,b,b,a,b,0,0,0.414,1.24,-1,0,0.94,-1,0.25,6.33,4.81,1.23,100,100,60,73,84,120,1.35,0.791,0,100,120,100,100,90,88,82
Carilion New River Valley Medical Center,"2900 Lamb Circle Christiansburg, VA",b,a,a,a,a,a,a,1.91,0.992,1.181,0.598,0,0,1.17,163.22,0.3,6.68,3.03,0.99,100,100,60,74,83,120,0.59,0,0,100,120,100,50,91,91,83
Carle Foundation Hospital,"611 W. Park Street Urbana, IL",b,b,a,a,a,b,b,0.32,0.968,0.384,0.788,1.962,0.077,0.99,176.71,0.33,9.55,5.18,1.66,100,100,60,78,86,120,0.1,0.386,0,100,120,100,100,91,91,86
Carilion Roanoke Memorial Hospital,"1906 Belleview Avenue Roanoke, VA",b,b,b,b,c,c,c,0.535,0.883,0.305,1.607,1.501,0.077,1.51,210.03,0.37,6.31,4.2,1.25,100,100,60,78,89,120,0.59,0.422,0,100,120,100,100,91,92,85
Carlsbad Medical Center,"2430 West Pierce Street Carlsbad, NM",c,c,b,ns,ns,c,d,-1,0.281,-1,-1,-1,0,0.93,-1,0.25,9.22,4.45,1.21,-2,-2,54,75,78,110.77,0.31,1.211,0,100,110.77,100,5,89,89,85
Carney Hospital,"2100 Dorchester Avenue Dorchester, MA",a,a,b,c,b,a,b,0,0.349,1.728,1.012,-1,0,0.92,-1,0.3,6.57,3.17,1.19,100,100,48,74,89,120,0.21,0.347,0,90.91,120,100,100,91,91,84
CaroMont Regional Medical Center,"2525 COURT DR GASTONIA, NC",b,b,a,b,a,a,a,0.779,0.199,0,0.134,0.849,0,1.07,176.77,0.25,6.44,2.35,1.21,100,45,-2,73,84,-2,1.48,0.135,0,-2,-2,-2,100,90,89,83
Carolina Pines Regional Medical Center,"1304 W. BoBo Newsom Highway Hartsville, SC",d,c,c,c,b,c,c,-1,0.184,0.827,0.725,-1,0,0.92,171.67,0.34,6.73,4.62,1.17,70,75,42,77,87,64.62,0.17,0.694,0,72.73,110.77,70.59,5,91,90,84
CarolinaEast Medical Center,"2000 Neuse Boulevard New Bern, NC",a,a,a,a,b,b,a,0.339,0.506,0,0.767,0.667,0,0.8,186.66,0.24,4.84,3.59,1.46,70,-2,-2,82,88,-2,0.58,0.153,0,-2,-2,-2,5,93,94,89
Carolinas Medical Center - Mercy,"2001 Vail Ave Charlotte, NC",b,b,b,b,c,c,b,1.308,0.559,1.028,0,0.382,0.035,0.9,167.54,0.19,7.23,5.13,1.51,100,100,60,77,87,120,0.21,0.568,0,100,120,100,5,92,92,84
Carondelet St. Joseph's Hospital,"350 North Wilmot Road Tucson, AZ",a,b,b,b,a,a,b,0.789,0.351,0.22,0.254,0.499,0,0.83,187.68,0.44,6.98,4.87,1.12,100,75,60,79,87,120,0.24,0.397,0,100,120,100,100,89,89,85
Carolinas Medical Center,"1000 Blythe Boulevard Charlotte, NC",b,b,c,b,b,b,b,0.634,0.563,0.93,0.576,0.797,0.035,0.9,167.54,0.19,7.23,5.13,1.51,100,100,60,77,87,120,0.21,0.568,0,100,120,100,5,92,92,84
Carteret Health Care,"3500 Arendell St Morehead City, NC",a,c,b,c,b,a,a,-1,0.381,-1,-1,0.757,0,1.14,154.28,0.22,7.3,5.35,1.28,70,100,-2,81,89,-2,0.77,0.178,0,-2,-2,-2,5,94,94,88
Cartersville Medical Center,"960 Joe Frank Harris Parkway Cartersville, GA",a,a,a,a,a,a,a,0,0.287,0,0,0,0,0.89,170.54,0.23,12.77,3.22,1.37,100,100,60,80,85,120,0.13,0.187,0,100,120,100,50,89,91,85
Carondelet St. Mary's Hospital,"1601 West St Mary's Road Tucson, AZ",b,b,b,b,a,b,c,0.45,0.528,0,0.484,0.406,0,1.43,169.71,0.22,9.7,3.88,1.02,100,75,60,77,86,120,1.03,0.404,0,100,120,100,100,90,89,83
Cary Medical Center,"163 Van Buren Road Caribou, ME",a,a,a,b,b,a,a,-1,0.541,-1,-1,-1,0,0.91,-1,0.26,7.01,3.23,1.49,40,100,60,84,91,120,0.3,0,0,100,120,100,5,94,93,90
Carson Tahoe Regional Medical Center,"1600 Medical Parkway Carson City, NV",c,d,d,c,c,c,c,1.346,0.641,0.336,0.85,1.307,0,1.07,215.45,0.24,7.6,2.3,1.86,45,45,-2,81,89,-2,0.52,0.828,0,-2,-2,-2,5,90,90,85
Catawba Valley Medical Center,"810 Fairgrove Church Rd Hickory, NC",a,a,a,a,a,a,a,0,0.461,1.085,0.484,0,0,0.89,196.77,0.22,8.59,2.89,1.31,70,100,60,81,90,120,0.13,0.188,0,100,120,100,100,93,94,87
Catholic Health System - Mercy Hospital of Buffalo,"565 Abbott Road Buffalo, NY",b,c,b,b,b,b,c,0.723,0.638,0.083,0.296,0.65,0,1.32,175.19,0.3,6.57,4.43,2.2,100,100,60,75,89,120,1.15,0.512,0,100,120,100,100,89,91,81
Catholic Health System - Kenmore Mercy Hospital,"2950 Elmwood Avenue Kenmore, NY",a,a,a,a,a,a,a,1.554,0.77,0,0.841,1.108,0,0.9,-1,0.24,8.16,2.25,1.08,100,100,60,79,89,120,0.44,0,0,100,120,100,100,92,93,84
Catholic Health System - Mount St. Mary's Hospital,"5300 Military Road Lewiston, NY",a,a,a,a,c,c,c,0,0.67,0,0.41,-1,0,0.93,-1,0.24,6.54,3.67,1.18,100,100,60,72,87,120,0.22,0,0,100,120,100,50,88,89,81
Catholic Health System -Sisters Hospital - St. Joseph Campus,"2605 Harlem Road Cheektowaga, NY",b,c,a,a,b,b,c,-1,0.244,1.577,0.518,-1,0,0.87,168.69,0.31,7.05,5.53,1.21,100,100,60,78,87,120,1.01,0.566,0,100,120,100,50,91,91,83
Cayuga Medical Center at Ithaca,"101 Dates Drive Ithaca, NY",c,c,b,b,c,c,b,-1,0.395,0.676,0.397,0,0,0.92,-1,0.37,5.83,2.56,1.12,45,45,-2,77,91,-2,1.53,0,0,-2,-2,-2,5,91,92,88
